"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
CAA-MI-2-PBA-0.70,1,0, 0.391, 0.000, 0.399, 0.935, 0.134,4997,1651.17,23,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,0,0, 0.272, 0.000, 0.281, 0.927,-0.221,4997,27.34,23,CR_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,0,0, 0.269, 0.000, 0.275, 0.933,-0.228,5003,39.26,23,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.272, 0.000, 0.281, 0.927,-0.221,4997,1646.46,23,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,1,0, 0.568, 0.000, 0.579, 0.947, 0.082,5010,31.13,24,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,1,0, 0.560, 0.000, 0.570, 0.946, 0.056,5010,43.06,24,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.568, 0.000, 0.579, 0.947, 0.082,5010,1652.54,24,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,0,0, 0.447, 0.000, 0.456, 0.879,-0.313,5010,27.4,24,CR_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,0,0, 0.442, 0.000, 0.450, 0.891,-0.330,5010,39.19,24,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.447, 0.000, 0.456, 0.879,-0.313,5010,1649.01,24,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
